ds,yhat,yhat_lower,yhat_upper
2010-02-05,1063450.3939327032,336084.5210704537,1731998.9788734245
2010-02-12,1089250.27536918,420610.3491383169,1830788.0820392715
2010-02-19,1063801.3972068331,358475.7645065572,1714719.9860384674
2010-02-26,1031320.7245102668,336232.76785909815,1749385.6039298188
2010-03-05,1017498.5607495657,291664.5744378862,1725525.9799124203
2010-03-12,1015965.1699841324,215966.65763362317,1749809.4627800572
2010-03-19,1014061.2074829818,354510.16458327183,1773727.4896123658
2010-03-26,1014463.2366868146,337330.7782934449,1707800.1919264758
2010-04-02,1025713.0385621919,331618.67490312754,1775911.0027176484
2010-04-09,1041622.8635952568,332014.7768590588,1826882.9953406723
2010-04-16,1043207.83890768,275854.7722223678,1753481.0692675456
2010-04-23,1022955.2095190837,328699.2746819425,1759273.8384734355
2010-04-30,998467.684348162,286521.50357789366,1720317.3964110417
2010-05-07,995068.9450556003,349509.47222603235,1755819.2518707348
2010-05-14,1017479.9669080392,314709.6090731,1710889.7494149413
2010-05-21,1045399.3666088467,377597.99272431433,1727524.0889316609
2010-05-28,1057774.3718879032,340359.70833111287,1827893.14370437
2010-06-04,1055106.1605180725,345568.35546829336,1801109.4316177715
2010-06-11,1053447.8365070808,324405.70094957104,1747916.2379347335
2010-06-18,1060599.2795719192,365360.6911256179,1786070.0246109155
2010-06-25,1066124.2510258844,349622.6956058354,1735015.0485506027
2010-07-02,1056525.4506796075,336201.4907421573,1765319.540581413
2010-07-09,1033889.7459209239,297693.66996163165,1700005.3640933672
2010-07-16,1013783.4417725335,326061.9262119079,1707903.1658778705
2010-07-23,1007104.1612272116,349854.54851295863,1716974.3513352808
2010-07-30,1010742.7466324584,258989.6661198892,1707503.1575684287
2010-08-06,1017167.7434601929,284744.94713718956,1746270.6491372061
2010-08-13,1025830.8468226535,280494.0211150032,1743807.0061104316
2010-08-20,1038371.0450563857,331317.7360847023,1742506.255694823
2010-08-27,1045946.4868662979,315828.7005307495,1803842.6746423186
2010-09-03,1032046.7516008981,307531.02981203236,1761267.993582303
2010-09-10,993600.8290261698,255495.2523609853,1653370.5239589754
2010-09-17,953446.3646570684,245695.96896204186,1669710.1625674888
2010-09-24,941827.0640062541,229221.4193503345,1685444.214519034
2010-10-01,963389.5341234049,238905.0739403007,1694425.9773308935
2010-10-08,989917.7463793727,285235.59093160776,1646284.74014651
2010-10-15,992164.1314738027,325835.29739707586,1674417.55721975
2010-10-22,975563.2548057802,242978.58619691044,1674204.9608615085
2010-10-29,975769.3493816315,319716.3013994749,1697032.6063487302
2010-11-05,1017499.0990203032,336397.01641115814,1713475.5040644994
2010-11-12,1085943.0599916608,391201.0970499153,1810358.5112946015
2010-11-19,1146718.771589186,493882.43096010986,1860965.7553043757
2010-11-26,1189364.574049306,465901.2329988102,1853617.5324214771
2010-12-03,1236428.6968370553,540861.4281860429,1948138.603744906
2010-12-10,1302703.0218777522,574321.7715144991,2031547.354612943
2010-12-17,1353836.9423279553,707403.9086385916,2025019.3838531952
2010-12-24,1798019.9673885042,1068936.4435354462,2525446.23352745
2010-12-31,900343.5223373122,196411.23334366508,1579280.755474709
2011-01-07,997897.4349461636,328533.71403457865,1712406.3348103613
2011-01-14,864011.1020177723,203262.17546047946,1545917.9702161953
2011-01-21,852503.148765736,164335.53721213865,1590260.4252718443
2011-01-28,937702.1310484456,164276.95251622476,1635843.7071915607
2011-02-04,1032884.3632171196,326095.53688926407,1767640.4096473537
2011-02-11,1071162.0539705846,375102.486043313,1754813.789276665
2011-02-18,1052190.2779591456,356111.6827575425,1770024.8082437837
2011-02-25,1018943.3934527694,313637.9808524503,1682693.6544919494
2011-03-04,1002421.3691345993,287614.77860578423,1705818.3299411198
2011-03-11,1000757.0830329834,273029.4524457319,1648103.3836972178
2011-03-18,1000097.8502639341,276043.9798119528,1660022.3774593573
2011-03-25,1000196.1000760553,287843.38334934996,1664706.666420774
2011-04-01,1010257.7521865894,269532.7420789809,1698163.7685084871
2011-04-08,1027500.6970235365,332569.0346624534,1719351.8293323698
2011-04-15,1033746.3770300198,328052.6753189275,1715812.0538290506
2011-04-22,1017650.9593957014,250930.91414485712,1753190.3000710397
2011-04-29,992751.4253520663,276395.4867207512,1663824.3312558979
2011-05-06,985264.5469244996,291143.4635425106,1636403.9588233093
2011-05-13,1004925.1298608084,289521.45232601167,1675098.3181757724
2011-05-20,1034674.0264007626,307526.1701794873,1721492.68438715
2011-05-27,1051395.292811037,333702.377271177,1803654.4318034148
2011-06-03,1051270.928730358,272502.6269830377,1740105.0098605824
2011-06-10,1049217.0364627885,350395.85910170386,1768467.286640466
2011-06-17,1055998.8591409782,373325.16558991646,1735501.2823027242
2011-06-24,1063909.9612212004,418637.81852303765,1804853.4806345666
2011-07-01,1058310.6447599574,329080.1767065841,1741720.159610991
2011-07-08,1037922.8427517528,342942.3184767889,1761661.9407601247
2011-07-15,1017074.9242934338,314346.4962370619,1699125.6245469113
2011-07-22,1008741.145372442,350880.4063920783,1749794.8637112987
2011-07-29,1012053.0362143748,318795.49173539766,1693031.5736666964
2011-08-05,1019148.6375785053,272486.2536914266,1676230.7184128365
2011-08-12,1028050.0006797281,356377.88852852315,1728365.6958376192
2011-08-19,1041022.4550095228,337363.54903530196,1785667.702569884
2011-08-26,1051574.9106023838,361437.64028619084,1773258.1458397966
2011-09-02,1043311.0813052777,345137.47555333935,1768898.7642624467
2011-09-09,1009146.3864630088,275177.4398338638,1779897.355383347
2011-09-16,967717.0285543106,281412.41777272796,1711027.03531246
2011-09-23,950464.2496469367,256678.62314552953,1676915.790685054
2011-09-30,968342.5155943392,229710.1396697482,1630250.0005452519
2011-10-07,997572.8949093317,258079.69997309172,1680431.659234621
2011-10-14,1005881.5427124576,263036.43569779483,1726916.3233593334
2011-10-21,991315.739933508,259763.17384876736,1694241.2341104583
2011-10-28,986627.1075694896,282205.7804540758,1634762.1286555312
2011-11-04,1021700.0568561731,275817.9443230891,1729893.5817825648
2011-11-11,1077298.5603297516,373763.42410462996,1822451.9775858517
2011-11-18,1153661.1549309334,402318.0356650212,1878327.6699791085
2011-11-25,1199261.8333241772,388103.88844444003,1891867.9999104452
2011-12-02,1244199.9799766927,549095.0335922613,1967206.38826737
2011-12-09,1308672.342173485,648953.2281555985,2043589.283318782
2011-12-16,1367906.1750839013,685749.4092687564,2027308.7511309283
2011-12-23,1357552.5130620007,623232.1574790842,2097841.8647498745
2011-12-30,1238143.6706554047,494674.90986641136,1941708.4424055219
2012-01-06,1051541.796595503,308170.4460101396,1756807.747879757
2012-01-13,901198.2802357527,223421.61754855377,1652492.2213454985
2012-01-20,867538.7100516065,140086.29078735612,1559634.4582763787
2012-01-27,941588.4042028724,276901.6137640109,1702478.5820435842
2012-02-03,1041973.0724841428,416001.01565367944,1769477.7521933578
2012-02-10,1092920.9158898564,354853.24711731874,1763766.0252362234
2012-02-17,1082069.2549779299,391845.07707734103,1811775.6993991414
2012-02-24,1048243.1140518396,352296.22621779784,1755562.494029415
2012-03-02,1028009.6219512722,369195.04284039576,1737674.8967035294
2012-03-09,1024813.061796873,279981.64749019605,1787931.669934189
2012-03-16,1024527.9203663995,291235.44543398364,1750241.1730675213
2012-03-23,1023807.2667248948,364005.0340370541,1716307.76352424
2012-03-30,1031722.8086456181,277458.27369165886,1734697.64143911
2012-04-06,1048767.5822844026,333986.33045311685,1749000.2300426876
2012-04-13,1058373.1221495005,318165.0961515455,1744822.763992269
2012-04-20,1046022.4248711703,337570.8930611377,1770894.3095659192
2012-04-27,1020756.0898470663,320271.7200304839,1753446.2682419526
2012-05-04,1008641.9342368413,345948.97003010847,1686066.0745409399
2012-05-11,1024061.9944429861,307395.8009709984,1748621.093840799
2012-05-18,1053943.658064269,339042.2002016064,1804811.9667258945
2012-05-25,1074011.3488423275,326067.2442855883,1722821.9274962354
2012-06-01,1076097.462310325,329129.98909027205,1809334.6118700858
2012-06-08,1073154.1411089418,341453.8680817134,1789549.0420236299
2012-06-15,1078401.9782209813,329957.7390185968,1726762.5508824917
2012-06-22,1087287.2005768265,367900.81752785406,1854240.5480687416
2012-06-29,1084759.2217008132,418387.11063168704,1803156.336647317
2012-07-06,1066249.0369363767,396736.6551699701,1803266.3613904945
2012-07-13,1044230.47997419,333691.9829344504,1729688.8608612984
2012-07-20,1033309.4954263413,355671.9827691612,1671824.065394754
2012-07-27,1035120.2714863906,313037.04867665237,1781032.1224853632
2012-08-03,1041947.6031140625,347333.4432379559,1754463.0010546662
2012-08-10,1050321.99779185,380906.42404165625,1766688.620646715
2012-08-17,1062645.538508293,372610.03471658315,1778077.9035173121
2012-08-24,1074711.5244290172,388092.6064678045,1792673.0061363864
2012-08-31,1070922.2949418514,376135.88298210513,1807039.220380868
2012-09-07,1040788.2925448667,304194.8985104561,1730501.0877068157
2012-09-14,998307.772510213,241485.90178198193,1699869.1766556862
2012-09-21,974935.9104604804,318606.87507328,1724322.7851298968
2012-09-28,987411.503330045,278187.11269234563,1684396.3463393638
2012-10-05,1017313.7562390082,292330.2991037479,1734718.887984602
2012-10-12,1030726.4285887021,307179.9685853943,1759468.9749827469
2012-10-19,1018516.0293014329,337351.09627186746,1730303.841862564
2012-10-26,1009154.146561593,293999.1244220326,1721275.0316456524
2012-10-28,1526345.349846686,836842.1376053569,2269761.7643577633
2012-11-04,1565966.458815506,878660.4957961201,2236726.997938639
2012-11-11,1623046.175342556,876724.4399372102,2299571.1056292676
2012-11-18,1697496.7869618123,1034447.1963854512,2406204.968852832
2012-11-25,1741660.8055256868,1069827.6599071764,2441543.390676388
2012-12-02,1788221.2010684512,1018471.6119660621,2473086.096075806
2012-12-09,1854323.9248753707,1170203.4826332706,2492627.531691295
2012-12-16,1909403.5216896709,1201758.1669852133,2616149.062681577
2012-12-23,1888096.8404613337,1225557.9318185942,2599815.71956169
2012-12-30,1757910.282595253,1044152.5573135488,2492309.150968607
2013-01-06,1569841.4960035263,827683.5872773583,2243966.882926867
2013-01-13,1429413.7665542436,687886.2603710105,2152050.8171486408
2013-01-20,1409469.3621291514,657392.3291897525,2120432.237116737
2013-01-27,1490863.2895286286,765325.2954530346,2218715.3100052015
2013-02-03,1588719.483236261,828083.5383420003,2311794.8196328566
2013-02-10,1632381.601028007,895784.820698364,2322473.398352125
2013-02-17,1616782.3363709813,852378.1378758872,2316449.2797109834
2013-02-24,1583165.0666590696,904921.9842611321,2303116.858217706
2013-03-03,1565164.9706588218,837332.8571015889,2243244.02444999
2013-03-10,1562952.7294908813,852610.3585639558,2251271.138778449
2013-03-17,1562449.0722979205,873865.6501673292,2259532.821062683
2013-03-24,1562176.1839698737,834942.4001057933,2312877.3639329053
2013-03-31,1571381.593652955,823033.766936233,2248146.939088457
2013-04-07,1588620.39756333,901980.2675669045,2293971.543767885
2013-04-14,1596267.1836336947,878624.7639308274,2309361.7549749194
2013-04-21,1581622.1142434888,917782.997750875,2360192.8015128043
2013-04-28,1556464.1437721243,812819.7903626653,2280643.0339806727
2013-05-05,1547075.6259638479,840067.1618277099,2195374.8028394254
2013-05-12,1565105.6536106504,823929.4921716086,2264128.396816472
2013-05-19,1595008.6414208112,862063.3270531597,2225941.2423813865
2013-05-26,1613091.4446898932,852798.6878787696,2305794.3065470797
2013-06-02,1613788.6613162714,929468.6100631678,2315242.2330442253
2013-06-09,1611326.9298634324,904080.2742294671,2388260.3912633187
2013-06-16,1617522.9800026645,926811.5861410756,2280456.8856623676
2013-06-23,1625888.8282445152,947579.7252473934,2362223.0218417523
2013-06-30,1621530.3668924726,941991.3378971714,2358322.5104088164
2013-07-07,1601835.4104062424,891400.7642697835,2342976.4681088217
2013-07-14,1580461.1094364454,884384.799890887,2297172.0293657035
2013-07-21,1571093.6853066483,774872.0558980323,2287212.8724648766
2013-07-28,1573840.5279948968,829101.9868864424,2257215.7517277654
2013-08-04,1580838.9244597594,867021.9496695957,2275401.2179897255
2013-08-11,1589514.9636733849,877773.3164071877,2288542.822631475
2013-08-18,1602246.914781791,877170.0454402639,2311116.462594939
2013-08-25,1613473.146812023,926435.0455341515,2349358.9432207616
2013-09-01,1607039.8093482526,914093.7510903493,2318366.6650056387
2013-09-08,1574420.6993690243,847275.4613501505,2300396.546590015
2013-09-15,1532437.4752842567,793500.1020980821,2287214.2245370545
2013-09-22,1512677.628429757,808876.3112606189,2202289.0789167215
2013-09-29,1528485.1570604362,818358.4812662507,2239456.7513306835
2013-10-06,1558126.4165781424,824365.9539056096,2303549.7013293724
2013-10-13,1568500.3966993294,828626.514930451,2241796.0892133163
2013-10-20,1554745.0675713653,799997.2983376895,2234599.886227589
